timestamp,tipo_gerador,tipo_atividade,bairro_cidade,tipos_residuo,residuos_organicos,especificacao_residuos,origem_residuo,frequencia_descarte,quantidade_gerada,destino_atual,custo_destinacao,potencial_reaproveitamento,caracteristica_residuo,tentativa_reutilizacao,melhor_solucao,num_pessoas,conscientizacao,interesse_aprender
25/02/2026 19:23:46,Pessoa física (residência),"Alimentação (restaurante, padaria, mercado, etc.)",Outro,"Orgânicos (restos de alimentos, cascas, bagaço), Plástico",Restos de comida,Resto de refeição ,Consumo diário,Semanal,Menos de 10 kg por semana,Coleta pública comum,Não,Sim,Alto teor orgânico,Não,Compostagem ,,,
25/02/2026 19:28:58,Pessoa física (residência),Residencial,Chapecó (sem bairro),"Orgânicos (restos de alimentos, cascas, bagaço), Plástico, Óleo residual",Cascas de frutas,Casca de banana,Consumo diário,Diária,Menos de 10 kg por semana,Coleta pública comum,Não,Sim,"Contém vitaminas, minerais e compostos nutritivos",Sim,Óleo vegetal,,,
25/02/2026 19:29:42,Pessoa física (residência),Residencial,Xaxim,"Orgânicos (restos de alimentos, cascas, bagaço), Plástico",Restos de comida,Restos de comida sobrada e cascas de frutas ,Consumo diário,Semanal,Menos de 10 kg por semana,Compostagem,Não,Sim,"Contém vitaminas, minerais e compostos nutritivos",Sim,Compostagem ,,,
25/02/2026 19:30:07,Pessoa física (residência),Residencial,Xaxim,"Orgânicos (restos de alimentos, cascas, bagaço), Plástico",Restos de comida,"Arroz, restos de carnes e massas não consumidas no almoço ",Sobra de matéria-prima,Diária,10–50 kg por semana,Coleta pública comum,Não,Não,Alto teor orgânico,Sim,O descarte me parece o mais adequado para alimentos não consumidos,,,
25/02/2026 19:30:13,Pessoa física (residência),"Alimentação (restaurante, padaria, mercado, etc.)",Outro,"Plástico, Metal",Restos de comida,"Semente, restos de alimento, cascas de vários tipos",Consumo diário,Diária,Menos de 10 kg por semana,Compostagem,Não,Sim,Alto teor orgânico,Sim,Compostagem ,,,
25/02/2026 19:30:39,Pessoa física (residência),Residencial,Bela Vista,"Orgânicos (restos de alimentos, cascas, bagaço), Plástico, Metal",Cascas de legumes e verduras,"Resto de arroz, casca de batata",Consumo diário,Diária,Menos de 10 kg por semana,Coleta seletiva,Não,Nunca pensei sobre isso,Não sei informar,Sim,Reaproveitamento e novo destino ,,,
25/02/2026 19:39:49,Pessoa física (residência),Residencial,Cristo Rei,"Orgânicos (restos de alimentos, cascas, bagaço)",Restos de comida,Restos de comida,Consumo diário,Diária,Menos de 10 kg por semana,Coleta pública comum,Não,Nunca pensei sobre isso,Alto teor orgânico,Não,Compostagem ,,,
25/02/2026 20:08:33,Pessoa física (residência),Residencial,Líder,"Orgânicos (restos de alimentos, cascas, bagaço), Plástico, Papelão, Óleo residual",Restos de comida,Casca de frutas,Consumo diário,Diária,Menos de 10 kg por semana,Compostagem,Não,Sim,"Contém vitaminas, minerais e compostos nutritivos",Sim,Aproveitamento dos compostos úteis encontrados nos resíduos ,,,
25/02/2026 20:54:56,Pessoa física (residência),Indústria (qual?),Outro,Plástico,Borra de café,Borra de café ,Consumo diário,Diária,Menos de 10 kg por semana,Compostagem,Não,Nunca pensei sobre isso,"Contém vitaminas, minerais e compostos nutritivos",Não,Reaproveitando do resíduo ,,,
27/02/2026 15:00:51,Pessoa física (residência),Residencial,Xaxim,"Orgânicos (restos de alimentos, cascas, bagaço), Plástico","Restos de comida, Cascas de frutas, Casca de ovos, Cascas de legumes e verduras, Frutas estragadas, Legumes e verduras estragadas","Casca de banana, pedaços de tomate, centro do pimentão, gordura das carnes",Consumo diário,,5–10 kg por semana,Coleta seletiva,Não,Sim,"Alto teor orgânico, É úmido, Contém vitaminas, minerais e compostos nutritivos",Sim,,1 a 3,,Sim
